"","V1","V2","V3","V4","V5"
"1",0.268006137862216,0.181745345376877,0.244270255623798,0.184698555980839,0.168754203689738
"2",0.239027180685794,0.243898586897801,0.252529958069475,0.193944656712665,0.180047185092226
"3",0.216122673276289,0.295762751042832,0.2592189260302,0.209574943774184,0.191511001620142
"4",0.198748666345328,0.333453128168201,0.263420414627377,0.229367563301044,0.201913938056162
"5",0.185902845994919,0.356600326857812,0.264291219183297,0.251414478620739,0.210216369602821
"6",0.176474322521691,0.367657562219355,0.261234510602191,0.273913310750789,0.215713123663204
"7",0.169564138493349,0.370346819683916,0.254052118811964,0.295255773589453,0.21816112581469
"8",0.164641751650997,0.3681540414466,0.243002400670455,0.314190360934327,0.217802131413483
"9",0.161531339625835,0.363544619374505,0.228728789802664,0.329938100399332,0.215269426786053
"10",0.160313349324728,0.35788880031123,0.212076604078203,0.342209481082045,0.211428589145493
"11",0.1612457062045,0.351728995952513,0.193854542230083,0.351130746599195,0.207232292998639
