"","X1","X2","middle","corArray"
"1",-0.102399436291115,0.47480631418412,0.186203438946503,0
"2",-0.0968484078105344,0.477615360725154,0.19038347645731,0
"3",-0.0915124205718552,0.480043956645973,0.194265768037059,0
"4",-0.0863518867467671,0.482122594740328,0.19788535399678,0
"5",-0.0813358055600789,0.483875084276229,0.201269639358075,0
"6",-0.0764391782925194,0.485320215937626,0.204440518822553,0
"7",-0.0716411202370654,0.486472894075232,0.207415886919083,0
"8",-0.0669234159290173,0.487344893840726,0.210210738955855,0
"9",-0.062269347283753,0.487945340877807,0.212837996797027,0
"10",-0.0576626711605326,0.488280971629234,0.215309150234351,0
