"","V1","V2","V3","V4","V5"
"1",-0.0474795538700263,-0.0376587578520587,-0.0325856632047229,-0.0432669222244018,-0.0586496439570887
"2",-0.0470589363059062,-0.0374406603780463,-0.0320185514221149,-0.0426580015434349,-0.0590874493830945
"3",-0.0466391499649346,-0.0372361156565705,-0.0314837385830435,-0.0420695321253836,-0.0595070741602543
"4",-0.0462181877741181,-0.0370422942322745,-0.0309769899509014,-0.041498589769564,-0.0599103026463408
"5",-0.0457943545555756,-0.0368568712643384,-0.0304948436480391,-0.0409427685668992,-0.0602986095393081
"6",-0.0453661525165055,-0.036677888454355,-0.0300343937529966,-0.0404000141347386,-0.0606732638855318
"7",-0.0449321863639518,-0.0365036545551502,-0.0295931299753658,-0.0398684919772629,-0.0610354133735468
"8",-0.0444910780663333,-0.0363326706515822,-0.0291688145862549,-0.0393464772499703,-0.0613861569624785
"9",-0.044041383146338,-0.0361635709815667,-0.0287593832723762,-0.0388322554592802,-0.0617266123862451
"10",-0.0435815008464391,-0.0359950727421638,-0.0283628601037722,-0.0383240251050771,-0.0620579846430693
"11",-0.0431095697074793,-0.0358259298012368,-0.027977278696942,-0.0378197933112573,-0.062381642170205
